Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
100,1754375,937083,2292,11667,3283000,2291,22208,1064541,617333,458,14500,2167
200,1170417,2297000,3666,252500,784833,334,4625,661458,525375,125,2625,417
300,922000,786250,2250,3791,2083459,167,2959,808375,455000,125,2500,292
400,595625,553208,541,6959,1077042,250,23042,609000,505167,125,1417,250
500,629583,835625,416,2042,607584,167,4000,612250,588667,84,1000,209
600,754709,741875,5625,29541,759500,208,2125,733333,701167,125,1250,250
700,1060250,817542,583,1958,822791,209,1833,785542,889792,84,1458,250
800,1028709,898750,584,10500,849209,250,5542,841500,838625,83,2042,250
900,988833,984917,542,5958,980333,292,10500,958291,1034750,166,3041,250
1000,1211250,1078542,709,5291,1068375,375,7292,2366500,1063875,125,3083,375
1100,1205500,1153000,14250,2916,1243416,291,1917,1155709,1183750,42,2042,417
1200,1364541,1256791,417,4000,1275166,292,1833,1259667,882458,83,2208,291
1300,1363542,1323584,1459,2250,1507417,250,3833,1217125,790625,84,1833,250
1400,1109625,1307042,500,1292,896958,375,7042,985250,517417,42,2375,333
1500,724125,653167,6209,33125,1493333,834,21792,1007250,564500,84,2625,416
1600,816667,731333,1292,1000,702208,334,10250,683833,595042,83,1541,250
1700,726583,804375,583,3250,661084,250,1125,645959,622250,41,1542,292
1800,1279709,1531500,500,791,753250,209,917,697584,692083,83,1416,292
1900,956542,777500,333,13208,858458,83,792,703292,740292,84,1292,291
2000,920167,789583,458,5167,1022667,167,792,842000,784625,125,1208,292
2100,878208,806375,333,3959,842292,166,666,786375,803917,125,1333,459
2200,904041,811459,416,792,959584,292,792,806125,820833,125,1209,292
2300,950667,791417,4375,917,913042,208,709,844542,831750,42,1167,250
2400,931000,1711292,250,875,1065792,250,625,915459,837167,83,1000,250
2500,943500,768833,125,4667,1040459,209,750,999084,1026292,125,1917,333
2600,957916,862917,125,7000,1065667,167,4458,1033417,956916,84,1459,292
2700,1061416,894583,208,2125,1146500,209,1208,999000,937541,125,1333,250
2800,964000,906917,250,1292,1417208,250,917,1003875,962542,42,1208,292
2900,955166,1009833,292,8666,1078583,250,12042,1085167,1002167,125,1250,250
3000,1054917,992750,42,500,998375,209,5791,1048083,1005833,125,1041,166
3100,1142792,1008417,208,667,1068208,209,708,1102625,1149667,125,1500,292
3200,1192041,1156375,125,500,1114917,166,708,1030875,1076458,83,1167,208
3300,1115041,1172125,459,542,1141375,208,1042,1073125,1236875,125,1417,250
3400,1307625,1148875,41,417,1155917,208,750,1184125,1318000,125,1334,250
3500,1361334,1140792,500,7583,1182166,208,834,1126792,1239541,83,1250,208
3600,1401000,1246959,83,667,1274875,167,750,1150292,1449166,167,2125,291
3700,1460750,1156083,83,583,1114291,209,542,1129334,1139625,41,875,166
3800,1364959,1193875,333,542,1260417,208,667,1151750,1295667,84,1458,208
3900,1415042,1215042,84,458,1240708,250,583,1239958,1216417,125,833,208
4000,1441000,1421709,125,459,1254125,209,583,1156625,1316666,84,834,209
4100,1459250,1277958,167,583,1352000,291,1000,1455000,1349208,41,750,208
4200,1544375,1397708,84,500,1394792,167,792,1344917,1432167,41,1000,209
4300,1677834,1546667,167,375,1408542,166,583,1353542,1507334,84,1042,166
4400,1626666,1531417,83,667,1442750,167,459,1513708,1483041,84,917,166
4500,1678208,2326750,125,417,1405625,125,4042,1314500,1605083,83,917,167
4600,1707333,1373625,42,417,1385459,84,500,1299125,1592125,42,667,125
4700,1651917,1473042,83,375,1486333,84,1208,1387417,1716167,125,625,167
4800,1672417,1506583,41,541,1364584,84,583,1353583,1655584,42,750,125
4900,1538375,1476166,417,500,1386375,208,875,1359667,1471375,83,1208,208
5000,1626584,1814000,83,417,1439542,208,1125,1455167,1342917,42,1083,208
5100,1666375,1518584,83,375,1526583,167,708,1443083,1436250,42,667,166
5200,1689042,1715875,42,458,1569583,125,750,1567208,1471167,83,625,208
5300,1757500,1714750,41,1125,1643875,125,458,1584041,1505583,84,500,125
5400,2419667,1875750,83,541,1696209,166,2500,1616792,1513875,41,958,167
5500,1824000,1775834,42,333,1648500,125,2583,1564000,1536500,83,666,125
5600,1839375,1787583,42,375,1703083,125,458,1724042,1454584,83,625,166
5700,1890875,1856125,83,459,1761750,167,625,1707250,1613375,83,750,125
5800,1864958,1867000,41,458,1675000,166,375,1692209,1648084,83,625,166
5900,1945084,1883292,41,500,2592000,167,958,1762125,1538917,83,1125,250
6000,1890458,1854000,542,583,1715125,167,1375,1660083,1571875,42,1500,167
6100,1884666,2116541,166,1125,1912959,334,1083,1680458,1595708,42,2500,333
6200,1978125,1986083,42,417,2022042,83,833,1711833,1649958,41,1208,167
6300,2045208,1935458,42,500,1820584,208,625,1747250,1669667,83,583,125
6400,2008125,1970042,41,666,1807208,542,709,1813250,1665041,333,792,125
6500,2116834,1976958,41,375,1867959,208,417,1784083,1677167,83,666,125
6600,2139458,2057125,83,375,1865833,167,417,1846583,1730417,83,791,42
6700,2169292,2075875,42,375,1936750,166,500,1867042,1736208,83,667,125
6800,2219083,2050917,83,291,1968208,84,500,1887875,1765042,41,708,125
6900,2263250,2118500,41,500,1923125,83,583,1897667,1774625,83,708,83
7000,2270791,2137666,42,459,1956875,208,750,1911333,1846625,41,917,250
7100,3305208,2316583,83,833,2064375,166,1666,1998750,1926959,125,1584,250
7200,2301375,2173125,125,292,2108708,167,875,1961083,1875791,84,959,167
7300,2264291,2516917,84,625,2038125,166,1041,2023792,1933083,83,875,250
7400,2288917,2318625,42,542,2079416,167,708,2042125,1923375,84,1125,167
7500,2345459,2295125,42,417,2089166,83,916,2090625,2011917,83,875,125
7600,2417708,2322625,41,416,2172458,125,542,2097375,1983125,84,750,125
7700,2823667,2338209,42,333,2181375,166,833,2110791,2023083,42,709,167
7800,2969208,2431458,667,833,2198875,416,1375,2155459,2052917,41,1875,291
7900,2971917,2395750,83,417,2518959,250,2666,2226542,2104292,83,1083,166
8000,3009750,2459750,41,416,2255167,125,542,2201084,2770625,42,1125,208
8100,3024166,2416500,42,583,2315958,250,1125,2267792,2132041,125,958,167
8200,3114750,2608917,125,417,2320041,125,792,2249500,2166083,83,1250,167
8300,2570334,2584792,84,458,2318792,125,667,2315000,2235000,42,750,125
8400,2721875,2624833,166,709,2535959,292,1292,2377916,2213125,41,1625,208
8500,2590708,2697458,125,958,2442500,458,1542,2426625,2549125,42,1958,416
