"Size";"add(E)";"addAll(Collection)";"clear()";"clone()";"constructor()";"constructor(Collection)";"contains(Object)";"containsAll(Collection)";"equals(Object)";"hashCode()";"isEmpty()";"iterator()";"remove(Object)";"removeAll(Collection)";"retainAll(Collection)";"size()";"toArray()";"toArray(T[])";"toString()"
5000;32000;42005;2057;34189;34;34001;40;3773;80396;11606;31;17553;32;6571;2074991;33;8905;9846;76282
10000;88543;86118;4009;70493;36;70298;44;7287;167114;21133;34;33268;34;13149;8155330;31;17436;19604;142202
15000;125042;137916;8181;112472;31;103842;64;10337;250520;31246;31;57111;33;19859;18296577;31;33427;36148;240086
20000;177132;177935;7920;145255;35;142709;79;13457;325981;41136;31;65725;41;25766;32392794;30;37063;38887;322782
25000;250090;259745;15843;179416;41;182466;121;15754;462830;80737;49;104112;56;33000;50999594;36;59040;67417;447999
30000;245470;295458;16279;213353;38;208630;138;18853;480911;60721;46;114239;70;39524;76031181;47;65937;72239;507179
35000;276192;330891;16260;240070;45;245213;140;21287;545906;78955;44;123118;91;45841;123039347;43;66980;79861;599023
40000;304063;346659;16078;281022;47;274546;134;23879;673444;116212;54;134808;96;52371;151043934;44;72834;85602;675775
45000;389795;390965;16338;317099;40;321043;129;26327;652944;88067;53;142505;98;58099;214829389;44;76348;93904;764557
50000;443490;483583;34387;358741;51;396068;114;28261;880768;111172;44;214924;105;64507;255008845;38;123164;152537;904052
