n,add,contains,remove,removeAll,retainAll,clear,size,addAll,clone
680,0.000011,0.000007,0.000008,0.000150,0.000116,0.000007,0.000000,0.000030,0.000056
690,0.000011,0.000007,0.000007,0.000152,0.000120,0.000007,0.000000,0.000031,0.000058
700,0.000011,0.000007,0.000010,0.000159,0.000126,0.000007,0.000000,0.000031,0.000059
710,0.000011,0.000007,0.000008,0.000161,0.000126,0.000007,0.000000,0.000032,0.000058
720,0.000012,0.000008,0.000009,0.000165,0.000137,0.000007,0.000000,0.000032,0.000058
730,0.000012,0.000008,0.000008,0.000168,0.000130,0.000007,0.000000,0.000032,0.000059
740,0.000012,0.000012,0.000008,0.000173,0.000133,0.000007,0.000000,0.000033,0.000065
750,0.000011,0.000008,0.000008,0.000176,0.000137,0.000014,0.000000,0.000034,0.000064
760,0.000012,0.000007,0.000009,0.000187,0.000146,0.000007,0.000000,0.000035,0.000065
770,0.000015,0.000010,0.000009,0.000187,0.000145,0.000013,0.000000,0.000037,0.000067
780,0.000015,0.000008,0.000008,0.000200,0.000154,0.000008,0.000000,0.000038,0.000072
790,0.000014,0.000009,0.000009,0.000209,0.000164,0.000014,0.000000,0.000039,0.000073
800,0.000015,0.000009,0.000009,0.000198,0.000155,0.000001,0.000000,0.000037,0.000068
810,0.000014,0.000008,0.000008,0.000203,0.000158,0.000001,0.000000,0.000035,0.000074
820,0.000012,0.000008,0.000009,0.000207,0.000161,0.000001,0.000000,0.000036,0.000067
830,0.000012,0.000008,0.000009,0.000210,0.000165,0.000001,0.000000,0.000036,0.000067
840,0.000015,0.000008,0.000009,0.000215,0.000168,0.000001,0.000000,0.000036,0.000068
850,0.000013,0.000008,0.000009,0.000219,0.000171,0.000001,0.000000,0.000037,0.000082
860,0.000013,0.000009,0.000009,0.000225,0.000175,0.000001,0.000000,0.000037,0.000069
870,0.000012,0.000009,0.000009,0.000229,0.000178,0.000001,0.000000,0.000039,0.000079
880,0.000016,0.000009,0.000009,0.000233,0.000181,0.000001,0.000000,0.000039,0.000072
890,0.000016,0.000009,0.000009,0.000248,0.000189,0.000001,0.000000,0.000040,0.000072
900,0.000012,0.000009,0.000009,0.000243,0.000189,0.000001,0.000000,0.000038,0.000072
910,0.000013,0.000009,0.000009,0.000251,0.000201,0.000000,0.000000,0.000040,0.000074
920,0.000012,0.000009,0.000010,0.000254,0.000195,0.000001,0.000000,0.000040,0.000074
930,0.000015,0.000009,0.000010,0.000265,0.000199,0.000001,0.000000,0.000040,0.000075
940,0.000019,0.000010,0.000010,0.000268,0.000206,0.000001,0.000000,0.000045,0.000077
950,0.000015,0.000012,0.000010,0.000267,0.000209,0.000001,0.000000,0.000040,0.000077
960,0.000013,0.000009,0.000010,0.000289,0.000230,0.000001,0.000000,0.000045,0.000081
970,0.000014,0.000010,0.000010,0.000287,0.000222,0.000001,0.000000,0.000043,0.000081
980,0.000014,0.000010,0.000010,0.000296,0.000226,0.000001,0.000000,0.000043,0.000082
990,0.000014,0.000010,0.000011,0.000298,0.000231,0.000001,0.000000,0.000044,0.000085
1000,0.000019,0.000011,0.000012,0.000304,0.000235,0.000001,0.000000,0.000047,0.000060
