Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
15700,455834,414750,7541,125,79375,166,375,55221542,458,125,625,1209
15800,462167,450541,7458,83,80958,208,250,55320958,166,42,250,708
15900,497167,503875,7542,84,81250,167,250,56409791,209,125,250,667
16000,600708,486208,7500,84,83875,125,167,59272791,167,83,458,834
16100,482958,465708,7667,83,82458,167,208,58142291,209,84,375,667
16200,507458,440916,7875,83,88042,125,208,59265500,1458,250,1333,3167
16300,489541,472166,7667,167,85167,167,542,58986416,292,125,417,1166
16400,485875,424333,7500,83,85458,125,167,60223000,167,83,625,667
16500,478250,455625,7500,83,88208,125,250,60330583,167,84,250,917
16600,432000,476542,7583,41,85708,125,209,61613625,1250,166,1125,2500
16700,427625,424542,7708,250,91333,208,542,64663334,291,83,542,750
16800,442292,437875,7833,125,95750,167,208,64977208,459,83,541,708
16900,486500,493209,7750,42,92167,167,334,63431917,2334,250,1291,2958
17000,456708,492875,7708,208,91542,167,625,64937791,667,125,1167,2541
17100,437917,431042,7750,167,92583,208,333,64800709,209,84,292,958
17200,498000,440833,7583,83,94083,166,208,66024333,209,84,334,1000
17300,459459,437000,7459,84,95417,166,208,66322833,167,84,375,667
17400,456250,502583,7584,84,96834,166,208,67923750,1292,375,1000,2375
17500,464750,543458,8042,167,105916,250,458,69359750,333,125,5625,1250
17600,514625,453542,8084,125,100208,166,208,70707375,166,83,1000,958
17700,500083,475375,7667,84,100959,166,208,71731375,166,83,458,875
17800,537959,475500,7583,42,100000,125,208,72133208,208,125,416,750
17900,505666,498625,7709,0,102209,125,250,73842417,208,83,375,750
18000,527291,496167,7917,42,105125,125,167,73721500,1375,375,1167,2584
18100,457084,490625,7791,250,100959,167,583,73197416,292,166,375,958
18200,525500,658750,8209,167,129500,291,458,73863292,417,167,10166,1333
18300,644333,714500,8042,125,175291,208,375,77133500,2833,1125,3042,6875
18400,850291,673333,9041,333,227000,333,958,79857125,3625,1417,2833,11000
18500,819500,566167,8458,333,235000,459,1042,86126625,9209,4709,7875,7083
18600,740667,513875,7500,333,203375,333,792,78650083,833,83,875,3333
18700,721417,521333,8125,250,207542,125,709,82511792,375,250,1042,1916
18800,752875,572333,8333,250,232667,167,542,80876875,292,291,375,1500
18900,494541,607833,7708,375,138750,125,208,82723542,417,83,500,1334
19000,493500,536000,8042,83,141042,125,208,82426541,166,83,583,1250
19100,495625,504166,7875,125,141792,125,458,82830708,167,125,500,1083
19200,495000,486625,7791,83,140541,125,167,86042208,292,125,334,792
19300,476000,483041,7958,125,145000,166,250,95350792,2500,417,1708,4333
19400,539833,512750,8000,375,139625,209,958,83914792,1209,250,1041,2750
19500,567708,531666,7833,208,142834,250,458,86943125,291,83,416,916
19600,573334,541042,7875,125,145667,167,292,86535625,1333,166,958,3083
19700,551334,525666,7583,125,144334,167,500,87109750,333,83,542,1417
19800,545709,528917,7709,84,169667,208,250,87322542,166,83,375,791
19900,561666,544000,7625,83,143833,167,167,88644709,2041,250,1417,3250
20000,555458,549958,7708,166,147250,250,542,89810375,333,84,417,1375
